pile,ward,precinct,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15
Azeem,7,2,Azeem,Hicks,Mallon,McGovern,McGuirk,Siddiqui,Simmons,Sobrinho-Wheeler,Toner,,,,,,
Azeem,7,2,Azeem,Sobrinho-Wheeler,Siddiqui,Toner,McGuirk,Mallon,McGovern,,,,,,,,
Azeem,7,2,Azeem,McGuirk,Zondervan,Sobrinho-Wheeler,Bullister,Skeadas,McGovern,Carlone,Williams,Pierre,,,,,
Azeem,7,2,Azeem,Williams,Hicks,Bullister,Skeadas,Zondervan,Sobrinho-Wheeler,McGovern,Nolan,Simmons,Mallon,Siddiqui,Levy,,
Azeem,7,2,Azeem,Mallon,McGovern,Siddiqui,McGuirk,Sobrinho-Wheeler,Hicks,Skeadas,Simmons,Zondervan,Toner,Eckstut,Bullister,,
Azeem,7,2,Azeem,McGuirk,Siddiqui,Nolan,Skeadas,,,,,,,,,,
Azeem,7,2,Azeem,Mallon,Skeadas,Zondervan,McGuirk,Siddiqui,McGovern,Sobrinho-Wheeler,Simmons,Toner,Levy,Hicks,,,
Azeem,7,2,Azeem,Sobrinho-Wheeler,McGuirk,Mallon,McGovern,Siddiqui,,,,,,,,,
Azeem,7,2,Azeem,Simmons,Siddiqui,Hicks,Mallon,Sobrinho-Wheeler,McGovern,Toner,McGuirk,,,,,,
Azeem,7,2,Azeem,Siddiqui,Mallon,McGovern,Sobrinho-Wheeler,Simmons,McGuirk,Skeadas,,,,,,,
Azeem,7,2,Azeem,Siddiqui,Nolan,McGuirk,Williams,Toner,Mallon,McGovern,Pierre,Sobrinho-Wheeler,Eckstut,Bullister,Skeadas,Carlone,Hicks
Azeem,7,2,Azeem,Siddiqui,Bullister,Nolan,Williams,Eckstut,Mallon,Zondervan,Skeadas,Pierre,Sobrinho-Wheeler,McGuirk,,,
